AÑO;MES;NÚMERO ESTADO;NOMBRE ESTADO;NÚMERO MUNICIPIO;NOMBRE MUNICIPIO;NÚMERO DIVISIÓN;NOMBRE DIVISIÓN;TARIFA;FIJO;VARIABLE
2022;ENERO;1;AGUASCALIENTES;1;AGUASCALIENTES;3;Bajío;PDBT;27.78;3.605
2022;ENERO;1;AGUASCALIENTES;2;ASIENTOS;3;Bajío;PDBT;27.78;3.605
2022;ENERO;1;AGUASCALIENTES;3;CALVILLO;3;Bajío;PDBT;27.78;3.605
2022;ENERO;1;AGUASCALIENTES;4;COSIO;3;Bajío;PDBT;27.78;3.605
2022;ENERO;1;AGUASCALIENTES;5;EL LLANO;3;Bajío;PDBT;27.78;3.605
2022;ENERO;1;AGUASCALIENTES;6;JESUS MARIA;3;Bajío;PDBT;27.78;3.605
2022;ENERO;1;AGUASCALIENTES;7;PABELLON DE ARTEAGA;3;Bajío;PDBT;27.78;3.605
2022;ENERO;1;AGUASCALIENTES;8;RINCON DE ROMOS;3;Bajío;PDBT;27.78;3.605
2022;ENERO;1;AGUASCALIENTES;9;SAN FRANCISCO DE LOS ROMO;3;Bajío;PDBT;27.78;3.605
2022;ENERO;1;AGUASCALIENTES;10;SAN JOSE DE GRACIA;3;Bajío;PDBT;27.78;3.605
2022;ENERO;1;AGUASCALIENTES;11;TEPEZALA;3;Bajío;PDBT;27.78;3.605
2022;ENERO;2;BAJA CALIFORNIA;12;ENSENADA;1;Baja California;PDBT;53.58;2.388
2022;ENERO;2;BAJA CALIFORNIA;13;MEXICALI;1;Baja California;PDBT;53.58;2.388
2022;ENERO;2;BAJA CALIFORNIA;14;PLAYAS DE ROSARITO;1;Baja California;PDBT;53.58;2.388
2022;ENERO;2;BAJA CALIFORNIA;15;TECATE;1;Baja California;PDBT;53.58;2.388
2022;ENERO;2;BAJA CALIFORNIA;16;TIJUANA;1;Baja California;PDBT;53.58;2.388
2022;ENERO;3;BAJA CALIFORNIA SUR;17;COMONDU;2;Baja California;PDBT;53.58;3.637
2022;ENERO;3;BAJA CALIFORNIA SUR;18;LA PAZ;2;Baja California;PDBT;53.58;3.637
2022;ENERO;3;BAJA CALIFORNIA SUR;19;LORETO;2;Baja California;PDBT;53.58;3.637
2022;ENERO;3;BAJA CALIFORNIA SUR;20;LOS CABOS;2;Baja California;PDBT;53.58;3.637
2022;ENERO;3;BAJA CALIFORNIA SUR;21;MULEGE;2;Baja California;PDBT;53.58;3.637
2022;ENERO;4;CAMPECHE;22;CALAKMUL;22;Peninsular;PDBT;41.06;3.757
2022;ENERO;4;CAMPECHE;23;CALKINI;22;Peninsular;PDBT;41.06;3.757
2022;ENERO;4;CAMPECHE;24;CAMPECHE;22;Peninsular;PDBT;41.06;3.757
2022;ENERO;4;CAMPECHE;25;CANDELARIA;22;Peninsular;PDBT;41.06;3.757
2022;ENERO;4;CAMPECHE;26;CARMEN;22;Peninsular;PDBT;41.06;3.757
2022;ENERO;4;CAMPECHE;27;CHAMPOTON;22;Peninsular;PDBT;41.06;3.757
2022;ENERO;4;CAMPECHE;28;ESCARCEGA;22;Peninsular;PDBT;41.06;3.757
2022;ENERO;4;CAMPECHE;29;HECELCHAKAN;22;Peninsular;PDBT;41.06;3.757
2022;ENERO;4;CAMPECHE;30;HOPELCHEN;22;Peninsular;PDBT;41.06;3.757
2022;ENERO;4;CAMPECHE;31;PALIZADA;23;Sureste;PDBT;58.51;3.62
2022;ENERO;4;CAMPECHE;32;TENABO;22;Peninsular;PDBT;41.06;3.757
2022;ENERO;5;CHIAPAS;33;ACACOYAGUA;23;Sureste;PDBT;58.51;3.62
2022;ENERO;5;CHIAPAS;34;ACALA;23;Sureste;PDBT;58.51;3.62
